first_order_date,last_order_date,orders,quantity,revenue,postal_code,city,country,today,days_since_order,id,order_ids,avg_order_value,avg_life,customer_value,customer_lifetime_value,purchase_frequency,profit_margin,clv,month_year
2017-07-25 08:03:53,2017-07-25 08:03:53,4,9,40.57,1509GP,Zaandam,NL,2020-06-18 00:00:00,1058,2239494964570881686,1478727216377870648,10.1425,0.0,12.867053921568626,0.0,0.00784313725490196,12.171,12.867053921568626,Jul-2017
2018-02-21 20:40:44,2018-02-21 20:40:44,4,7,93.79,2151KV,Nieuw-Vennep,NL,2020-06-18 00:00:00,847,2236530259561204867,7439576930578883431,23.4475,0.0,29.746142156862746,0.0,0.00784313725490196,28.137,29.746142156862746,Feb-2018
2017-09-26 08:46:32,2017-09-26 08:46:32,5,6,254.5,7361ET,Beekbergen,NL,2020-06-18 00:00:00,995,16345102021806026516,376077500108802426,50.9,0.0,64.57313725490195,0.0,0.00980392156862745,76.35,64.57313725490195,Sep-2017
2017-09-27 15:35:54,2017-09-27 15:35:54,1,1,5.37,6216BW,Maastricht,NL,2020-06-18 00:00:00,994,13468216973299895554,975545377752792286,5.37,0.0,6.8125294117647055,0.0,0.00196078431372549,1.611,6.8125294117647055,Sep-2017
2020-03-10 14:10:00,2020-03-10 14:10:00,1,3,29.0,3024 AC,Rotterdam,NL,2020-06-18 00:00:00,99,1535920729230190226,1292319315654061820,29.0,0.0,36.79019607843137,0.0,0.00196078431372549,8.7,36.79019607843137,Mar-2020
2020-03-10 12:31:00,2020-03-10 12:31:00,1,3,29.0,1091 GN,Amsterdam,NL,2020-06-18 00:00:00,99,12705440974142990385,11069546246983745194,29.0,0.0,36.79019607843137,0.0,0.00196078431372549,8.7,36.79019607843137,Mar-2020
2017-10-07 07:21:12,2017-10-07 07:21:12,2,2,21.0,1054XR,Amsterdam,NL,2020-06-18 00:00:00,984,11394572983796261399,5505578769432713143,10.5,0.0,13.320588235294117,0.0,0.00392156862745098,6.3,13.320588235294117,Oct-2017
2017-10-10 11:29:03,2017-10-10 11:29:03,1,2,6.6,3571PG,Utrecht,NL,2020-06-18 00:00:00,981,346945013645234048,9668552043494710430,6.6,0.0,8.372941176470587,0.0,0.00196078431372549,1.9799999999999998,8.372941176470587,Oct-2017
2020-03-11 17:55:00,2020-03-11 17:55:00,1,4,37.0,1079 TT,Amsterdam,NL,2020-06-18 00:00:00,98,4359128224680238555,122495781477083370,37.0,0.0,46.93921568627451,0.0,0.00196078431372549,11.1,46.93921568627451,Mar-2020
2020-03-11 17:22:00,2020-03-11 17:22:00,1,4,37.0,6707 BM,wageningen,NL,2020-06-18 00:00:00,98,13373444164884789504,14317093005623099230,37.0,0.0,46.93921568627451,0.0,0.00196078431372549,11.1,46.93921568627451,Mar-2020
